Cell,HTAN_Biospecimen_ID,subtype
RU1144_LN_121965726590835,HTA8_2007_2,SCLC-A
RU1066_192101783399340,HTA8_2003_1,SCLC-A
RU1080C_236107999603619,HTA8_2004_1,SCLC-A
RU1066_240617703291115,HTA8_2003_1,SCLC-A
RU1311A_T_1_192728983628085,HTA8_2016_1,SCLC-A
RU1066_191226637871531,HTA8_2003_1,SCLC-A
RU1229A_Frozen_231366209519013,HTA8_2013_1,SCLC-A
RU1195A_121812464561518,HTA8_2011_1,SCLC-A
RU426B_122291519872222,HTA8_2018_1,SCLC-A
RU1181C_227293403408755,HTA8_2010_1,SCLC-N
RU1065C_236845410676011,HTA8_2002_1,SCLC-A
RU1145_201474342271286,HTA8_2008_1,SCLC-A
RU1195A_200967503861675,HTA8_2011_1,SCLC-A
RU779D_166288895990501,HTA8_2019_1,SCLC-N
RU1195A_165190277478261,HTA8_2011_1,SCLC-A
RU1124A_LN_230610192198070,HTA8_2006_1,SCLC-A
RU1065C_192118648618403,HTA8_2002_1,SCLC-A
RU1124A_LN_135622829403054,HTA8_2006_1,SCLC-A
RU1145_241106374483237,HTA8_2008_1,SCLC-A
PleuralEffusion_121826140903197,HTA8_2001_1,SCLC-A
RU1144_LN_162078888683254,HTA8_2007_2,SCLC-A
RU1066_200899066193628,HTA8_2003_1,SCLC-A
RU1124A_LN_156514592680181,HTA8_2006_1,SCLC-A
PleuralEffusion_200562850060651,HTA8_2001_1,SCLC-A
RU1124A_LN_226970295777709,HTA8_2006_1,SCLC-A
RU1066_195546213702052,HTA8_2003_1,SCLC-A
RU1311A_T_1_122283734488998,HTA8_2016_1,SCLC-A
RU1181C_157689547188971,HTA8_2010_1,SCLC-N
RU1293A_121416373463971,HTA8_2015_1,SCLC-N
PleuralEffusion_131217355098972,HTA8_2001_1,SCLC-A
RU1293A_125033702608094,HTA8_2015_1,SCLC-N
RU1124A_LN_227499964848347,HTA8_2006_1,SCLC-A
RU1144_LN_169151760030131,HTA8_2007_2,SCLC-A
RU1311A_T_1_235197351446957,HTA8_2016_1,SCLC-A
